LABEL,POSITION_T,Mean ch1
Label,T,Mean ch1
,(sec),(counts)
ID12447,0.0,649.3809523809524
ID13514,0.0,609.8095238095239
ID9629,0.0,392.5238095238095
ID14286,0.0,385.0952380952381
ID10780,0.0,476.2857142857143
ID11567,0.0,395.85714285714283
ID12450,1.0,610.0
ID13520,1.0,597.5714285714286
ID9634,1.0,355.4761904761905
ID14290,1.0,391.95238095238096
ID10786,1.0,401.14285714285717
ID11573,1.0,406.95238095238096
ID12453,2.0,622.7619047619048
ID13523,2.0,612.0
ID9637,2.0,380.0
ID14293,2.0,371.85714285714283
ID10788,2.0,426.8095238095238
ID11580,2.0,397.6666666666667
ID12455,3.0,625.8571428571429
ID13525,3.0,649.6666666666666
ID9640,3.0,355.8095238095238
ID14296,3.0,373.42857142857144
ID10790,3.0,429.1904761904762
ID11586,3.0,393.3809523809524
ID12457,4.0,553.7142857142857
ID13527,4.0,592.2380952380952
ID9643,4.0,332.8095238095238
ID14299,4.0,434.23809523809524
ID10792,4.0,372.6666666666667
ID11590,4.0,317.3333333333333
ID12459,5.0,633.2380952380952
ID13529,5.0,642.952380952381
ID9646,5.0,359.04761904761904
ID14303,5.0,407.9047619047619
ID10795,5.0,426.57142857142856
ID11593,5.0,408.6190476190476
ID12461,6.0,560.6666666666666
ID13531,6.0,569.3809523809524
ID9649,6.0,330.1904761904762
ID14305,6.0,394.3809523809524
ID10797,6.0,375.1904761904762
ID11597,6.0,345.6190476190476
ID12463,7.0,595.4285714285714
ID13533,7.0,586.6190476190476
ID9652,7.0,367.9047619047619
ID14307,7.0,387.76190476190476
ID10799,7.0,393.42857142857144
ID11601,7.0,368.57142857142856
ID12465,8.0,603.7142857142857
ID13535,8.0,592.3333333333334
ID9654,8.0,350.95238095238096
ID14309,8.0,386.2857142857143
ID10801,8.0,405.9047619047619
ID11605,8.0,319.2857142857143
ID12467,9.0,603.1428571428571
ID13537,9.0,589.0
ID9657,9.0,352.8095238095238
ID14311,9.0,384.5238095238095
ID10803,9.0,404.6190476190476
ID11609,9.0,372.04761904761904
ID12469,10.0,591.2380952380952
ID13539,10.0,584.1428571428571
ID9660,10.0,366.04761904761904
ID14313,10.0,392.8095238095238
ID10805,10.0,409.23809523809524
ID11615,10.0,337.23809523809524
ID12471,11.0,610.3333333333334
ID13541,11.0,582.4761904761905
ID9663,11.0,408.95238095238096
ID14315,11.0,401.0
ID10807,11.0,497.0
ID11622,11.0,333.57142857142856
ID12473,12.0,594.3809523809524
ID13543,12.0,581.6190476190476
ID9666,12.0,403.5238095238095
ID14317,12.0,389.6190476190476
ID10809,12.0,487.0952380952381
ID11628,12.0,387.8095238095238
ID12475,13.0,598.9047619047619
ID13545,13.0,587.1904761904761
ID9669,13.0,394.04761904761904
ID14319,13.0,406.2857142857143
ID10811,13.0,440.0
ID11630,13.0,395.14285714285717
ID12477,14.0,590.6190476190476
ID13547,14.0,592.0952380952381
ID9672,14.0,398.14285714285717
ID14321,14.0,394.1904761904762
ID10813,14.0,432.3809523809524
ID11634,14.0,352.0952380952381
ID12479,15.0,608.047619047619
ID13549,15.0,595.2380952380952
ID9675,15.0,373.2857142857143
ID14323,15.0,412.23809523809524
ID10815,15.0,425.2857142857143
ID11636,15.0,367.5238095238095
ID12481,16.0,540.1428571428571
ID13551,16.0,540.8095238095239
ID9678,16.0,336.42857142857144
ID14325,16.0,377.2857142857143
ID10817,16.0,369.23809523809524
ID11638,16.0,349.76190476190476
ID12483,17.0,630.9047619047619
ID13553,17.0,624.2857142857143
ID9681,17.0,399.2857142857143
ID14327,17.0,417.2857142857143
ID10819,17.0,467.6190476190476
ID11640,17.0,397.23809523809524
ID12485,18.0,597.3333333333334
ID13555,18.0,572.3809523809524
ID9684,18.0,345.6666666666667
ID14329,18.0,388.57142857142856
ID10821,18.0,393.4761904761905
ID11646,18.0,335.95238095238096
ID12487,19.0,605.1904761904761
ID13557,19.0,594.0952380952381
ID9687,19.0,355.3809523809524
ID14331,19.0,395.95238095238096
ID10823,19.0,407.1904761904762
ID11649,19.0,367.6190476190476
ID12489,20.0,611.3809523809524
ID13559,20.0,588.6190476190476
ID9690,20.0,362.5238095238095
ID14335,20.0,388.76190476190476
ID10825,20.0,401.2857142857143
ID11653,20.0,338.57142857142856
ID12491,21.0,605.0952380952381
ID13561,21.0,591.1428571428571
ID9693,21.0,358.6666666666667
ID14338,21.0,343.76190476190476
ID10827,21.0,387.04761904761904
ID11659,21.0,387.4761904761905
ID12493,22.0,610.2380952380952
ID13563,22.0,588.952380952381
ID9696,22.0,363.7142857142857
ID14341,22.0,353.2857142857143
ID10829,22.0,406.6190476190476
ID11663,22.0,354.23809523809524
ID12495,23.0,595.7619047619048
ID13565,23.0,596.4285714285714
ID9699,23.0,358.76190476190476
ID14344,23.0,396.95238095238096
ID10831,23.0,425.9047619047619
ID11665,23.0,348.85714285714283
ID12497,24.0,583.8095238095239
ID13567,24.0,609.952380952381
ID9702,24.0,447.6666666666667
ID14347,24.0,375.9047619047619
ID10833,24.0,510.0
ID11670,24.0,343.5238095238095
ID12499,25.0,602.8571428571429
ID13569,25.0,612.0952380952381
ID9705,25.0,402.42857142857144
ID14350,25.0,351.7142857142857
ID10835,25.0,479.7142857142857
ID11674,25.0,388.1904761904762
ID12501,26.0,593.8095238095239
ID13571,26.0,615.4285714285714
ID9708,26.0,385.23809523809524
ID14353,26.0,389.6666666666667
ID10837,26.0,444.6190476190476
ID11678,26.0,272.42857142857144
ID12503,27.0,601.6190476190476
ID13573,27.0,614.047619047619
ID9711,27.0,363.7142857142857
ID14356,27.0,354.0
ID10839,27.0,435.6190476190476
ID11681,27.0,357.3333333333333
ID12505,28.0,551.1904761904761
ID13575,28.0,514.0952380952381
ID9714,28.0,326.8095238095238
ID14359,28.0,383.42857142857144
ID10841,28.0,396.2857142857143
ID11686,28.0,295.9047619047619
ID12507,29.0,614.3809523809524
ID13577,29.0,627.3809523809524
ID9717,29.0,378.76190476190476
ID14362,29.0,398.76190476190476
ID10843,29.0,431.9047619047619
ID11690,29.0,341.7142857142857
ID12509,30.0,552.4285714285714
ID13579,30.0,529.7142857142857
ID9720,30.0,342.8095238095238
ID14365,30.0,361.9047619047619
ID10845,30.0,383.95238095238096
ID11692,30.0,304.42857142857144
ID12511,31.0,581.9047619047619
ID13581,31.0,552.6666666666666
ID9723,31.0,338.1904761904762
ID14368,31.0,364.5238095238095
ID10847,31.0,404.0
ID11694,31.0,344.85714285714283
ID12513,32.0,577.9047619047619
ID13583,32.0,573.7619047619048
ID9726,32.0,345.0
ID14371,32.0,375.57142857142856
ID10849,32.0,418.57142857142856
ID11696,32.0,286.76190476190476
ID12515,33.0,576.3809523809524
ID13585,33.0,567.6666666666666
ID9729,33.0,353.0952380952381
ID14374,33.0,368.0
ID10851,33.0,410.8095238095238
ID11698,33.0,354.57142857142856
ID12517,34.0,581.1428571428571
ID13587,34.0,561.8095238095239
ID9732,34.0,347.95238095238096
ID14377,34.0,377.42857142857144
ID10853,34.0,413.4761904761905
ID11700,34.0,402.9047619047619
ID12519,35.0,604.7619047619048
ID13589,35.0,581.2380952380952
ID9735,35.0,368.9047619047619
ID14380,35.0,378.04761904761904
ID10855,35.0,422.6666666666667
ID11702,35.0,408.42857142857144
ID12521,36.0,625.3333333333334
ID13591,36.0,606.3333333333334
ID9738,36.0,416.9047619047619
ID14383,36.0,393.2857142857143
ID10857,36.0,457.5238095238095
ID11704,36.0,336.04761904761904
ID12523,37.0,552.3333333333334
ID13593,37.0,525.7142857142857
ID9741,37.0,379.04761904761904
ID14386,37.0,421.14285714285717
ID10859,37.0,426.42857142857144
ID11706,37.0,332.57142857142856
ID12525,38.0,604.952380952381
ID13595,38.0,625.0952380952381
ID9744,38.0,382.23809523809524
ID14389,38.0,416.04761904761904
ID10861,38.0,479.42857142857144
ID11708,38.0,352.04761904761904
ID12527,39.0,556.1904761904761
ID13597,39.0,520.6666666666666
ID9747,39.0,346.57142857142856
ID14392,39.0,385.14285714285717
ID10863,39.0,394.5238095238095
ID11710,39.0,302.8095238095238
ID12529,40.0,562.7142857142857
ID13599,40.0,558.047619047619
ID9750,40.0,348.1904761904762
ID14395,40.0,378.6666666666667
ID10865,40.0,391.23809523809524
ID11712,40.0,336.3809523809524
ID12531,41.0,569.9047619047619
ID13601,41.0,679.6190476190476
ID9753,41.0,331.14285714285717
ID14398,41.0,472.9047619047619
ID10867,41.0,401.6190476190476
ID11714,41.0,292.85714285714283
ID12533,42.0,569.5238095238095
ID13603,42.0,653.8571428571429
ID9756,42.0,354.04761904761904
ID14401,42.0,429.4761904761905
ID10869,42.0,409.42857142857144
ID11716,42.0,351.0952380952381
ID12535,43.0,586.7619047619048
ID13605,43.0,647.3809523809524
ID9759,43.0,416.2857142857143
ID14404,43.0,426.76190476190476
ID10872,43.0,477.2857142857143
ID11718,43.0,317.0952380952381
ID12537,44.0,591.1904761904761
ID13607,44.0,644.6190476190476
ID9762,44.0,373.4761904761905
ID14407,44.0,403.0
ID10874,44.0,455.0952380952381
ID11720,44.0,322.85714285714283
ID12539,45.0,600.3809523809524
ID13609,45.0,617.4285714285714
ID9765,45.0,367.76190476190476
ID14410,45.0,404.9047619047619
ID10876,45.0,445.57142857142856
ID11722,45.0,343.1904761904762
ID12541,46.0,588.2857142857143
ID13611,46.0,616.4285714285714
ID9768,46.0,361.3333333333333
ID14413,46.0,367.95238095238096
ID10878,46.0,431.5238095238095
ID11724,46.0,350.95238095238096
ID12543,47.0,528.7619047619048
ID13613,47.0,545.047619047619
ID9771,47.0,328.76190476190476
ID14415,47.0,371.8095238095238
ID10880,47.0,376.76190476190476
ID11726,47.0,336.4761904761905
ID12545,48.0,624.1904761904761
ID13615,48.0,625.0952380952381
ID9774,48.0,359.14285714285717
ID14418,48.0,370.04761904761904
ID10882,48.0,445.23809523809524
ID11728,48.0,370.14285714285717
ID12547,49.0,543.952380952381
ID13617,49.0,571.8095238095239
ID9777,49.0,338.7142857142857
ID14421,49.0,385.2857142857143
ID10884,49.0,389.6666666666667
ID11730,49.0,367.04761904761904
ID12549,50.0,572.1904761904761
ID13619,50.0,597.6666666666666
ID9780,50.0,339.2857142857143
ID14425,50.0,373.76190476190476
ID10886,50.0,406.14285714285717
ID11732,50.0,306.76190476190476
ID12551,51.0,564.6666666666666
ID13621,51.0,571.8095238095239
ID9783,51.0,332.3809523809524
ID14428,51.0,370.76190476190476
ID10888,51.0,408.14285714285717
ID11734,51.0,276.2857142857143
ID12553,52.0,571.0
ID13623,52.0,587.3809523809524
ID9786,52.0,354.3333333333333
ID14431,52.0,341.7142857142857
ID10890,52.0,401.95238095238096
ID11736,52.0,319.6666666666667
ID12555,53.0,571.6666666666666
ID13625,53.0,580.6190476190476
ID9789,53.0,352.85714285714283
ID14434,53.0,347.2857142857143
ID10892,53.0,411.0952380952381
ID11738,53.0,300.14285714285717
ID12557,54.0,574.5238095238095
ID13627,54.0,670.8095238095239
ID9792,54.0,360.9047619047619
ID14437,54.0,480.04761904761904
ID10894,54.0,408.85714285714283
ID11740,54.0,308.14285714285717
ID12559,55.0,566.8571428571429
ID13629,55.0,686.1904761904761
ID9795,55.0,361.6190476190476
ID14440,55.0,412.0952380952381
ID10896,55.0,399.85714285714283
ID11742,55.0,294.9047619047619
ID12561,56.0,585.0
ID13631,56.0,707.0
ID9798,56.0,359.4761904761905
ID14443,56.0,404.2857142857143
ID10898,56.0,400.1904761904762
ID11744,56.0,320.3333333333333
ID12439,57.0,355.7142857142857
ID12563,57.0,588.4285714285714
ID13633,57.0,679.7619047619048
ID9801,57.0,365.8095238095238
ID14446,57.0,367.9047619047619
ID10900,57.0,411.14285714285717
ID12565,58.0,678.8095238095239
ID13635,58.0,703.4761904761905
ID9804,58.0,366.9047619047619
ID14449,58.0,387.1904761904762
ID10902,58.0,437.76190476190476
ID11746,58.0,402.3809523809524
ID12568,59.0,668.7619047619048
ID13637,59.0,721.3809523809524
ID9807,59.0,368.14285714285717
ID14452,59.0,348.42857142857144
ID10904,59.0,419.0952380952381
ID11748,59.0,392.3333333333333
ID12570,60.0,660.9047619047619
ID13639,60.0,720.5238095238095
ID9810,60.0,363.3809523809524
ID14456,60.0,387.8095238095238
ID10906,60.0,441.42857142857144
ID11751,60.0,408.3809523809524
ID12572,61.0,586.3333333333334
ID13641,61.0,614.6666666666666
ID9813,61.0,357.23809523809524
ID14459,61.0,359.7142857142857
ID10908,61.0,390.3333333333333
ID11755,61.0,296.04761904761904
ID12574,62.0,585.047619047619
ID13643,62.0,623.6666666666666
ID9816,62.0,410.5238095238095
ID14462,62.0,377.14285714285717
ID10910,62.0,471.23809523809524
ID11757,62.0,365.1904761904762
ID12576,63.0,588.1428571428571
ID13645,63.0,631.2380952380952
ID9819,63.0,358.0
ID14465,63.0,359.95238095238096
ID10912,63.0,439.6190476190476
ID11759,63.0,353.0
ID12578,64.0,580.7142857142857
ID13647,64.0,732.3809523809524
ID9822,64.0,371.1904761904762
ID14468,64.0,461.7142857142857
ID10914,64.0,424.3809523809524
ID11761,64.0,363.14285714285717
ID12580,65.0,565.8571428571429
ID13649,65.0,724.1428571428571
ID9825,65.0,370.76190476190476
ID14471,65.0,436.8095238095238
ID10916,65.0,445.3809523809524
ID11763,65.0,308.6190476190476
ID12582,66.0,578.4761904761905
ID13651,66.0,734.7619047619048
ID9828,66.0,351.14285714285717
ID14474,66.0,395.95238095238096
ID10918,66.0,443.14285714285717
ID11765,66.0,310.4761904761905
ID12584,67.0,579.8095238095239
ID13653,67.0,735.0
ID9831,67.0,359.3809523809524
ID14477,67.0,355.23809523809524
ID10920,67.0,439.4761904761905
ID11767,67.0,335.0
ID12586,68.0,577.4761904761905
ID13655,68.0,712.5238095238095
ID9834,68.0,403.0952380952381
ID14480,68.0,351.42857142857144
ID10922,68.0,509.7142857142857
ID11769,68.0,331.76190476190476
ID12588,69.0,585.2380952380952
ID13657,69.0,705.3809523809524
ID9837,69.0,382.95238095238096
ID14483,69.0,348.3333333333333
ID10924,69.0,495.8095238095238
ID11771,69.0,342.6666666666667
ID12590,70.0,512.2857142857143
ID13659,70.0,593.3333333333334
ID9840,70.0,351.5238095238095
ID14486,70.0,413.57142857142856
ID10926,70.0,420.14285714285717
ID11773,70.0,310.76190476190476
ID12592,71.0,543.8571428571429
ID13661,71.0,600.3333333333334
ID9843,71.0,349.1904761904762
ID14494,71.0,408.6666666666667
ID10928,71.0,427.14285714285717
ID11775,71.0,317.42857142857144
ID12595,72.0,545.1428571428571
ID13663,72.0,610.5238095238095
ID9846,72.0,373.95238095238096
ID14497,72.0,399.57142857142856
ID10930,72.0,421.9047619047619
ID11777,72.0,315.3333333333333
ID12598,73.0,552.4761904761905
ID13665,73.0,600.3809523809524
ID9849,73.0,344.4761904761905
ID14501,73.0,373.3809523809524
ID10932,73.0,421.14285714285717
ID11779,73.0,314.76190476190476
ID12600,74.0,567.4285714285714
ID13667,74.0,618.0
ID9852,74.0,346.76190476190476
ID14504,74.0,415.4761904761905
ID10934,74.0,419.14285714285717
ID11781,74.0,320.14285714285717
ID12602,75.0,550.0
ID13669,75.0,629.4285714285714
ID9855,75.0,337.42857142857144
ID14507,75.0,421.76190476190476
ID10936,75.0,412.95238095238096
ID11783,75.0,345.1904761904762
ID12604,76.0,551.8571428571429
ID13671,76.0,607.1904761904761
ID9858,76.0,345.8095238095238
ID14510,76.0,366.95238095238096
ID10938,76.0,425.23809523809524
ID11785,76.0,346.76190476190476
ID12606,77.0,553.6666666666666
ID13673,77.0,674.4285714285714
ID9861,77.0,356.6666666666667
ID14513,77.0,379.0952380952381
ID10940,77.0,431.8095238095238
ID11787,77.0,355.6666666666667
ID12608,78.0,569.8571428571429
ID13675,78.0,625.952380952381
ID9864,78.0,353.04761904761904
ID14516,78.0,340.7142857142857
ID10942,78.0,436.14285714285717
ID11789,78.0,351.8095238095238
ID12610,79.0,559.5238095238095
ID13677,79.0,764.5238095238095
ID9867,79.0,344.04761904761904
ID14519,79.0,419.76190476190476
ID10944,79.0,420.8095238095238
ID11791,79.0,362.85714285714283
ID12612,80.0,563.9047619047619
ID13679,80.0,685.9047619047619
ID9870,80.0,333.3809523809524
ID14522,80.0,402.04761904761904
ID10946,80.0,446.0952380952381
ID11793,80.0,356.76190476190476
ID12614,81.0,556.0
ID13681,81.0,669.0
ID9873,81.0,333.5238095238095
ID14525,81.0,353.04761904761904
ID10948,81.0,410.42857142857144
ID11795,81.0,363.23809523809524
ID12616,82.0,568.1904761904761
ID13683,82.0,698.3333333333334
ID9876,82.0,334.0
ID14528,82.0,341.85714285714283
ID10950,82.0,440.0952380952381
ID11797,82.0,347.5238095238095
ID12619,83.0,561.8095238095239
ID13685,83.0,696.7619047619048
ID9879,83.0,347.04761904761904
ID14531,83.0,381.5238095238095
ID10952,83.0,430.57142857142856
ID11799,83.0,351.2857142857143
ID12621,84.0,568.1904761904761
ID13687,84.0,680.6666666666666
ID9882,84.0,331.7142857142857
ID14535,84.0,339.7142857142857
ID10954,84.0,430.04761904761904
ID11801,84.0,351.04761904761904
ID12623,85.0,498.42857142857144
ID13689,85.0,567.9047619047619
ID9885,85.0,308.14285714285717
ID14538,85.0,430.95238095238096
ID10956,85.0,371.57142857142856
ID11803,85.0,339.1904761904762
ID12625,86.0,603.8571428571429
ID13691,86.0,707.047619047619
ID9888,86.0,358.42857142857144
ID14544,86.0,394.3333333333333
ID10958,86.0,449.2857142857143
ID11805,86.0,331.2857142857143
ID12628,87.0,542.5238095238095
ID13693,87.0,575.9047619047619
ID9891,87.0,333.42857142857144
ID14547,87.0,393.4761904761905
ID10960,87.0,396.42857142857144
ID11809,87.0,343.1904761904762
ID12630,88.0,536.5714285714286
ID13695,88.0,600.952380952381
ID9894,88.0,385.57142857142856
ID14550,88.0,398.8095238095238
ID10962,88.0,464.0
ID11813,88.0,321.57142857142856
ID12632,89.0,547.0
ID13697,89.0,645.7619047619048
ID9897,89.0,396.5238095238095
ID14553,89.0,411.8095238095238
ID10964,89.0,460.3333333333333
ID11815,89.0,319.3333333333333
ID12634,90.0,568.8571428571429
ID13699,90.0,673.3333333333334
ID9900,90.0,388.76190476190476
ID14557,90.0,409.3809523809524
ID10966,90.0,462.2857142857143
ID11817,90.0,353.6190476190476
ID12637,91.0,569.6666666666666
ID13701,91.0,717.8571428571429
ID9903,91.0,375.95238095238096
ID14560,91.0,398.7142857142857
ID10968,91.0,465.8095238095238
ID11819,91.0,345.14285714285717
ID12640,92.0,581.3809523809524
ID13703,92.0,698.4285714285714
ID9906,92.0,386.95238095238096
ID14566,92.0,403.3333333333333
ID10970,92.0,481.42857142857144
ID11821,92.0,363.04761904761904
ID12643,93.0,595.3333333333334
ID13705,93.0,732.047619047619
ID9909,93.0,376.14285714285717
ID14570,93.0,434.7142857142857
ID10972,93.0,484.57142857142856
ID11825,93.0,356.57142857142856
ID12646,94.0,586.0
ID13707,94.0,788.047619047619
ID9912,94.0,413.0952380952381
ID14572,94.0,436.6190476190476
ID10974,94.0,472.3809523809524
ID11827,94.0,372.4761904761905
ID12649,95.0,609.6190476190476
ID13709,95.0,752.1904761904761
ID9915,95.0,407.6190476190476
ID14574,95.0,446.42857142857144
ID10976,95.0,501.6666666666667
ID11829,95.0,375.5238095238095
ID12652,96.0,598.5238095238095
ID13711,96.0,772.4285714285714
ID9918,96.0,396.23809523809524
ID14576,96.0,441.42857142857144
ID10978,96.0,498.9047619047619
ID11831,96.0,379.9047619047619
ID12655,97.0,610.8095238095239
ID13713,97.0,753.6190476190476
ID9921,97.0,404.3809523809524
ID14578,97.0,494.0952380952381
ID10980,97.0,492.6666666666667
ID11833,97.0,372.3333333333333
ID12658,98.0,617.3809523809524
ID13715,98.0,772.8095238095239
ID9924,98.0,411.57142857142856
ID14585,98.0,498.7142857142857
ID10982,98.0,520.5238095238095
ID11835,98.0,370.6666666666667
ID12661,99.0,619.9047619047619
ID13717,99.0,771.8571428571429
ID9927,99.0,416.5238095238095
ID14591,99.0,501.14285714285717
ID10984,99.0,520.5714285714286
ID11837,99.0,384.8095238095238
ID12664,100.0,631.7142857142857
ID13719,100.0,799.4285714285714
ID9930,100.0,431.3809523809524
ID14594,100.0,500.4761904761905
ID10986,100.0,509.7142857142857
ID11839,100.0,369.3809523809524
ID12435,101.0,404.23809523809524
ID12667,101.0,620.1428571428571
ID13721,101.0,790.4285714285714
ID9933,101.0,410.42857142857144
ID14597,101.0,512.7142857142857
ID10988,101.0,515.6190476190476
ID12670,102.0,630.6666666666666
ID13723,102.0,801.952380952381
ID9936,102.0,426.85714285714283
ID14600,102.0,500.76190476190476
ID10990,102.0,524.2380952380952
ID11841,102.0,378.8095238095238
ID12673,103.0,637.5714285714286
ID13725,103.0,778.0
ID9939,103.0,410.1904761904762
ID14603,103.0,496.0952380952381
ID10992,103.0,524.5714285714286
ID11843,103.0,365.8095238095238
ID12676,104.0,630.8571428571429
ID13727,104.0,785.5714285714286
ID9942,104.0,402.57142857142856
ID14606,104.0,492.95238095238096
ID10994,104.0,533.4285714285714
ID11845,104.0,346.7142857142857
ID12679,105.0,646.2380952380952
ID13729,105.0,798.4285714285714
ID9945,105.0,437.85714285714283
ID14609,105.0,485.42857142857144
ID10996,105.0,512.8095238095239
ID11847,105.0,341.5238095238095
ID12682,106.0,617.4285714285714
ID13731,106.0,822.6666666666666
ID9948,106.0,417.3333333333333
ID14612,106.0,467.14285714285717
ID10998,106.0,506.42857142857144
ID11849,106.0,336.76190476190476
ID12685,107.0,634.6666666666666
ID13733,107.0,812.5714285714286
ID9951,107.0,422.6666666666667
ID14615,107.0,466.6190476190476
ID11000,107.0,504.6666666666667
ID11851,107.0,383.5238095238095
ID12688,108.0,640.9047619047619
ID13735,108.0,817.952380952381
ID9954,108.0,414.14285714285717
ID14618,108.0,480.4761904761905
ID11002,108.0,495.9047619047619
ID11853,108.0,382.95238095238096
ID12691,109.0,642.2380952380952
ID13737,109.0,758.7619047619048
ID9957,109.0,414.3333333333333
ID14621,109.0,458.5238095238095
ID11004,109.0,493.9047619047619
ID11855,109.0,387.42857142857144
ID12694,110.0,644.4761904761905
ID13739,110.0,764.7619047619048
ID9960,110.0,415.1904761904762
ID14624,110.0,532.5238095238095
ID11006,110.0,500.3333333333333
ID11857,110.0,379.42857142857144
ID12697,111.0,643.1428571428571
ID13741,111.0,760.8571428571429
ID9963,111.0,436.04761904761904
ID14627,111.0,482.23809523809524
ID11008,111.0,514.1904761904761
ID11859,111.0,363.5238095238095
ID12700,112.0,651.1428571428571
ID13743,112.0,784.4285714285714
ID9966,112.0,421.8095238095238
ID14630,112.0,464.3809523809524
ID11010,112.0,513.047619047619
ID11861,112.0,369.6190476190476
ID12703,113.0,637.9047619047619
ID13745,113.0,834.2380952380952
ID9969,113.0,427.6666666666667
ID14633,113.0,473.0952380952381
ID11012,113.0,486.0
ID11863,113.0,374.1904761904762
ID12706,114.0,648.4285714285714
ID13747,114.0,801.6190476190476
ID9972,114.0,433.6190476190476
ID14636,114.0,539.2380952380952
ID11014,114.0,514.8571428571429
ID11865,114.0,380.04761904761904
ID12709,115.0,647.6190476190476
ID13749,115.0,750.4285714285714
ID9975,115.0,407.14285714285717
ID14639,115.0,475.6666666666667
ID11016,115.0,525.6190476190476
ID11867,115.0,380.5238095238095
ID12712,116.0,637.4761904761905
ID13751,116.0,847.9047619047619
ID9978,116.0,409.6190476190476
ID14642,116.0,478.04761904761904
ID11018,116.0,526.2380952380952
ID11869,116.0,358.57142857142856
ID12715,117.0,649.8095238095239
ID13753,117.0,838.5238095238095
ID9981,117.0,408.76190476190476
ID14645,117.0,464.23809523809524
ID11020,117.0,515.5238095238095
ID11871,117.0,366.57142857142856
ID12718,118.0,650.5714285714286
ID13755,118.0,747.1428571428571
ID9984,118.0,442.6666666666667
ID14648,118.0,470.0
ID11022,118.0,517.8571428571429
ID11873,118.0,354.0952380952381
ID12721,119.0,638.4285714285714
ID13757,119.0,769.4761904761905
ID9987,119.0,404.3809523809524
ID14651,119.0,464.85714285714283
ID11024,119.0,520.2857142857143
ID11875,119.0,367.4761904761905
ID12431,120.0,368.0
ID12724,120.0,646.5714285714286
ID13759,120.0,772.6190476190476
ID9990,120.0,408.6190476190476
ID14654,120.0,533.7619047619048
ID11026,120.0,516.5714285714286
ID12727,121.0,637.5714285714286
ID13761,121.0,782.5714285714286
ID9993,121.0,422.85714285714283
ID14657,121.0,479.0952380952381
ID11028,121.0,507.0
ID11877,121.0,358.3333333333333
ID12730,122.0,648.4761904761905
ID13763,122.0,762.5714285714286
ID9996,122.0,425.04761904761904
ID14660,122.0,522.0952380952381
ID11030,122.0,509.42857142857144
ID11879,122.0,368.2857142857143
ID12733,123.0,641.8571428571429
ID13765,123.0,791.047619047619
ID9999,123.0,441.8095238095238
ID14663,123.0,461.0952380952381
ID11032,123.0,503.04761904761904
ID11881,123.0,358.1904761904762
ID12736,124.0,614.0
ID13767,124.0,771.8095238095239
ID10002,124.0,405.42857142857144
ID14666,124.0,524.4761904761905
ID11034,124.0,523.4761904761905
ID11883,124.0,356.6666666666667
ID12739,125.0,630.1428571428571
ID13769,125.0,780.952380952381
ID10005,125.0,402.76190476190476
ID14669,125.0,518.6666666666666
ID11036,125.0,508.14285714285717
ID11885,125.0,354.0
ID12742,126.0,621.6190476190476
ID13771,126.0,792.0
ID10008,126.0,407.2857142857143
ID14672,126.0,458.95238095238096
ID11038,126.0,513.3809523809524
ID11887,126.0,354.0952380952381
ID12745,127.0,621.9047619047619
ID13773,127.0,784.8571428571429
ID10011,127.0,418.04761904761904
ID14675,127.0,519.1428571428571
ID11040,127.0,513.0
ID11889,127.0,365.9047619047619
ID12748,128.0,647.0952380952381
ID13775,128.0,785.6190476190476
ID10014,128.0,420.57142857142856
ID14678,128.0,523.2380952380952
ID11042,128.0,514.2380952380952
ID11891,128.0,361.95238095238096
ID12751,129.0,641.952380952381
ID13777,129.0,765.8571428571429
ID10017,129.0,423.8095238095238
ID14681,129.0,521.1428571428571
ID11044,129.0,516.1904761904761
ID11893,129.0,361.85714285714283
